geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
91280,-30.04513453566277,-51.09709286179231,porto alegre,RS
91550,-30.077021487809752,-51.1313949910142,porto alegre,RS
91920,-30.110020899532547,-51.23162798932419,porto alegre,RS
92020,-29.91005335319802,-51.169226719006566,canoas,RS
92500,-30.11082611949453,-51.36376683789562,guaiba,RS
94500,-30.06565935728178,-51.1109404409334,viamão,RS
94935,-29.94145639030968,-51.1005061362448,cachoeirinha,RS
95200,-28.517094,-50.92322625,vacaria,RS
95590,-30.00253608355953,-50.14516704987192,tramandai,RS
95700,-29.16904841329661,-51.52189899460921,bento goncalves,RS
95780,-29.67034898140752,-51.46146829327502,montenegro,RS
95703,-29.16026705184501,-51.50783498069227,bento gonçalves,RS
95920,-29.30263901903529,-52.42872858803613,boqueirao do leao,RS
96211,-32.04232063459594,-52.12953397213267,rio grande,RS
96900,-29.41729980418472,-53.0164225530434,sobradinho,RS
97030,-29.700413412718515,-53.846744201915854,santa maria,RS
97015,-29.689198816146927,-53.8064289212743,santa maria,RS
98300,-27.890224444772645,-53.30591654790965,palmeira das missoes,RS
99062,-28.284206765499057,-52.383798137288096,passo fundo,RS
